References,Qty,Function,Selected MPN / value,Package,Qualification,Availability / lifetime,Assembly route,Controlled alternatives / why not,Risk / closeout
QDUT,1,150 V qualification DUT,IAUTN15S6N025ATMA1,PG-HSOF-8-1 TOLL,Automotive active/preferred -55..175C,Active/preferred; product launched 2025; recheck authorized-distributor lots before order,Factory reflow with segmented paste and X-ray/FAI,IAUTN15S6N038ATMA1 SQJQ570E and SQJ590EP are not evidence-closing drop-ins; changing DUT defeats the approved qualification objective,Hot SOA trajectory is the purpose of the test and remains unqualified
UCTRL,1,Application controller,LM74930QRGERQ1,VQFN-24 RGE,AEC-Q100 Grade 1,Active; order-date authorized-distributor recheck,Factory reflow and exposed-pad voiding review,No alternate may replace UCTRL in the correlation build because PB-100 uses this exact controller,Keep A/VS/SW/CS/ISCP <=65V and RTN isolated
QREV,1,Correlation-build reverse FET,IAUT300N08S5N012ATMA2,PG-HSOF-8-1 TOLL,Automotive active/preferred,Active/preferred; order-date recheck,Factory reflow with segmented paste,IAUT300N08S5N014ATMA1 same footprint or BUK7J2R4-80MX non-drop-in are PB controlled alternatives but would reduce correlation,Forced-B leaves QREV DNP and loads JCOMMON
JRAW/JCOMMON/JOUT,3,Bolted high-current terminal,786202073,9-pin 3x3 press-fit M3,Automotive released -55..150C,Active >10 year expected lifetime; availability requires quote,Press-fit after reflow with supported insertion and force log,786202094 provides higher current but changes 16-pin geometry; external copper busbar is a fixture redesign,130A component rating is not a 40A PCB-path proof
DZVS,1,CTRL_VS clamp,BZT52H-B56-Q,SOD123F,AEC-Q101 56V 830mW class,Active; order-date recheck,Factory reflow,Automotive 56V Zener in a reviewed power/package class only after tolerance and pulse review,At 101V RVS dissipation and clamp temperature require bench confirmation
CVS1/CVS2,2,CTRL_VS energy storage,CGA6N3X7R2A225M230AE 2.2uF 100V X7R,EIA 1210,AEC-Q200 soft termination,Production; >10 year project use requires lifecycle recheck,Factory reflow,CGA6M2X7R2A105K200AE may be paralleled only after DC-bias proof; generic MLCC is rejected,Measure combined Ceff >=1.0uF at 56V and temperature
CCAP,1,CAP-to-VS charge-pump capacitor,CGA3E2X7R1H104K080AE 100nF 50V X7R,EIA 0603,AEC-Q200 soft termination,TDK production; official distributor inventory visible 2026-07-21; order-date recheck,Factory reflow,Murata GCJ188R71H104KA12D is the independent soft-termination 50V X7R source; TDK CGA3E2X7R1H104K080AA drops soft termination and needs strain review,50V gives 2x rated-voltage margin to nominal CAP differential; DC-bias and temperature remain covered by controller validation
RVS,1,VS feed,CRCW120610K0FKEAHP 10.0k 1%,EIA 1206,AEC-Q200 pulse-proof high-power,Active family; authorized-distributor stock and lot recheck at order,Factory reflow,Bourns CRS1206QFX-1002ELF is the independent 0.5W 200V anti-surge source; standard low-power 1206 is rejected,CRCW-HP is 0.75W/200V at the family reference condition but Zener tolerance startup pulse local temperature and derating proof remain open
ROV1/ROV2,2,OV upper divider,CRCW120642K2FKEAHP 42.2k 1%,EIA 1206,AEC-Q200 pulse-proof high-power,Active family; authorized-distributor stock and lot recheck at order,Factory reflow,Bourns CRS1206QFX-4222ELF is the independent 0.5W 200V anti-surge source; 0603 is rejected for voltage and clearance margin,Each nominal element sees about 49.9V and 59mW at 101V; full tolerance TCR leakage and pulse threshold calculation remains mandatory
ROV3,1,OV lower divider,CRCW06031K00FKEAHP 1.00k 1%,EIA 0603,AEC-Q200 pulse-proof high-power,Active family; authorized-distributor stock and lot recheck at order,Factory reflow,Bourns CMP0603QFX-1001ELF is the independent 0.25W anti-surge source; generic commercial 0603 is rejected,Tolerance TCR and OV input leakage enter the final threshold calculation
JDRIVE,1,Forced-driver Kelvin trigger and interlock interface,436500428 board header plus 436450408 receptacle and 430300002 gold contacts,Molex Micro-Fit 3.0 single-row 4-position vertical TH,Test fixture only - header 600V 8.5A/contact -40..125C; housing -40..105C,Active family; order-date lot and distributor recheck,Header manual post-reflow; harness uses controlled crimp tooling,Micro-Fit+ is dual-row/non-drop-in and unkeyed 2.54mm headers are rejected; four positions prevent mating with heater or temperature harness,Manufacturer recommends 1.57mm PCB while coupon is 2.0mm; written fit/DFM and enclosure interlock remain open
JHEAT,1,Isolated case-heater interface,436500228 board header plus 436450208 receptacle and 430300039 gold 18AWG contacts,Molex Micro-Fit 3.0 single-row 2-position vertical TH,Test fixture only - header 600V 8.0A/contact -40..125C; housing -40..105C,Active family; order-date lot and distributor recheck,Header manual post-reflow; harness uses controlled 18AWG crimp tooling,Micro-Fit+ is dual-row/non-drop-in and unkeyed 2.54mm headers are rejected; two positions prevent mating with drive or temperature harness,Heater current and housing temperature derating plus 2.0mm board fit/DFM remain open
JTEMP,1,Isolated TSEP input with reserved no-connect position,436500328 board header plus 436450308 receptacle and two 430300002 gold contacts,Molex Micro-Fit 3.0 single-row 3-position vertical TH,Test fixture only - header 600V 8.5A/contact -40..125C; housing -40..105C,Active family; order-date lot and distributor recheck,Header manual post-reflow; harness uses controlled crimp tooling,Micro-Fit+ is dual-row/non-drop-in and unkeyed 2.54mm headers are rejected; pin 3 remains physically empty and prevents mating with 2-position heater harness,Not intrinsically touch-safe; 2.0mm board fit/DFM and enclosure interlock remain open
TPD/TPG/TPS/TPHG/TPOUT/TPOV/TPVS/TPFLT/TPGND,9,Probe interfaces,S1751-46R,Harwin SMT test point 3.25x1.63x2.00mm,Test fixture only - 2A -55..125C,Active product; order-date authorized-distributor recheck,Factory tape-and-reel reflow,S2751-46R and S2761-46R reduce footprint but accept miniature clips and are less convenient for controlled attachment; generic TH loops are rejected,Manufacturer provides no voltage or bandwidth rating; attach probes de-energized inside locked enclosure and close exact probe MPN loading/spacing before FAB-REVIEW
